Invoice_ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating;;;;;;;;;;;;;;;;;;
75016718428,2,2,1,74.69,7,261415,5489715,152019,0,547222222222222,522.83,261415,9.1;;;;;;Invoice_ID;Branch;Customer type;1;Unit price;Quantity;Tax 5%;Total;Date;Time;cogs;gross income;Rating
48812514221,3,2,1,30.41,1,15205,319305,2222019,0,441666666666667,30.41,15205,8.4;;;;;;33816512210;3;2;1;68.6;10;34.3;720.3;252019;19:57;686;34.3;9.1
23911017476,3,1,1,77.95,6,23385,491085,1212019,0,692361111111111,467.7,23385,8;;;;;;48812514221;3;2;1;30.41;1;15.205;319.305;2222019;10:36;30.41;15.205;8.4
45814111477,1,1,1,46.26,6,13878,291438,382019,0,715972222222222,277.56,13878,9.5;;;;;;23911017476;3;1;1;77.95;6;23.385;491.085;1212019;16:37;467.7;23.385;8
68516411609,3,2,2,30.14,10,15.07,316.47,2102019,0,519444444444444,301.4,15.07,9.2;;;;;;45814111477;1;1;1;46.26;6;13.878;291.438;382019;17:11;277.56;13.878;9.5
56819015112,1,1,2,66.14,4,13228,277788,3192019,0,531944444444444,264.56,13228,5.6;;;;;;68516411609;3;2;2;30.14;10;15.07;316.47;2102019;12:28;301.4;15.07;9.2
26214712794,3,2,2,71.86,8,28744,603624,362019,0,629861111111111,574.88,28744,6.2;;;;;;56819015112;1;1;2;66.14;4;13.228;277.788;3192019;12:46;264.56;13.228;5.6
23814910436,2,1,1,32.46,8,12984,272664,3272019,0,575,259.68,12984,4.9;;;;;;26214712794;3;2;2;71.86;8;28.744;603.624;362019;15:07;574.88;28.744;6.2
60819613517,1,2,2,91.54,4,18308,384468,3232019,0,805555555555555,366.16,18308,4.8;;;;;;23814910436;2;1;1;32.46;8;12.984;272.664;3272019;13:48;259.68;12.984;4.9
58418617256,2,2,2,34.56,7,12096,254016,3112019,0,671527777777778,241.92,12096,7.3;;;;;;60819613517;1;2;2;91.54;4;18.308;384.468;3232019;19:20;366.16;18.308;4.8
74619410204,3,1,1,83.24,9,37458,786618,1292019,0,497222222222222,749.16,37458,7.4;;;;;;58418617256;2;2;2;34.56;7;12.096;254.016;3112019;16:07;241.92;12.096;7.3
21411716927,1,1,1,16.48,6,4944,103824,272019,0,765972222222222,98.88,4944,9.9;;;;;;74619410204;3;1;1;83.24;9;37.458;786.618;1292019;11:56;749.16;37.458;7.4
40018914171,3,1,2,80.97,8,32388,680148,1282019,0,545138888888889,647.76,32388,9.3;;;;;;21411716927;1;1;1;16.48;6;4.944;103.824;272019;18:23;98.88;4.944;9.9
78219519291,3,2,2,92.29,5,230725,4845225,2202019,0,663194444444444,461.45,230725,9;;;;;;40018914171;3;1;2;80.97;8;32.388;680.148;1282019;13:05;647.76;32.388;9.3
27917412924,1,2,2,72.17,1,36085,757785,142019,0,819444444444445,72.17,36085,6.1;;;;;;78219519291;3;2;2;92.29;5;230.725;4.845.225;2202019;15:55;461.45;230.725;9
30718512293,2,1,2,50.28,5,12.57,263.97,372019,0,581944444444444,251.4,12.57,9.7;;;;;;27917412924;1;2;2;72.17;1;36.085;757.785;142019;19:40;72.17;36.085;6.1
74310411105,2,2,2,97.22,9,43749,918729,3302019,0,613194444444444,874.98,43749,6;;;;;;30718512293;2;1;2;50.28;5;12.57;263.97;372019;13:58;251.4;12.57;9.7
42315712993,2,1,1,93.39,6,28017,588357,3272019,0,804166666666667,560.34,28017,10;;;;;;74310411105;2;2;2;97.22;9;43.749;918.729;3302019;14:43;874.98;43.749;6
89414115205,2,1,2,43.18,8,17272,362712,1192019,0,81875,345.44,17272,8.3;;;;;;42315712993;2;1;1;93.39;6;28.017;588.357;3272019;19:18;560.34;28.017;10
27512810149,3,1,2,63.69,1,31845,668745,2252019,0,68125,63.69,31845,6;;;;;;89414115205;2;1;2;43.18;8;17.272;362.712;1192019;19:39;345.44;17.272;8.3
10111716199,1,1,2,45.79,7,160265,3365565,3132019,0,822222222222222,320.53,160265,7;;;;;;27512810149;3;1;2;63.69;1;31.845;668.745;2252019;16:21;63.69;31.845;6
42318010988,1,1,2,76.4,2,7.64,160.44,1302019,0,820833333333333,152.8,7.64,6.5;;;;;;10111716199;1;1;2;45.79;7;160.265;3.365.565;3132019;19:44;320.53;160.265;7
54814619322,3,1,2,39.9,10,19.95,418.95,2202019,0,641666666666667,399,19.95,5.9;;;;;;42318010988;1;1;2;76.4;2;7.64;160.44;1302019;19:42;152.8;7.64;6.5
50510210892,2,2,2,42.57,8,17028,357588,2252019,0,591666666666667,340.56,17028,5.6;;;;;;54814619322;3;1;2;39.9;10;19.95;418.95;2202019;15:24;399;19.95;5.9
23416512137,2,1,2,95.58,10,47.79,1003.59,1162019,0,563888888888889,955.8,47.79,4.8;;;;;;50510210892;2;2;2;42.57;8;17.028;357.588;2252019;14:12;340.56;17.028;5.6
68714718271,3,1,2,98.98,10,49.49,1039.29,282019,0,680555555555555,989.8,49.49,8.7;;;;;;23416512137;2;1;2;95.58;10;47.79;1003.59;1162019;13:32;955.8;47.79;4.8
79613219050,1,1,2,51.28,6,15384,323064,1192019,0,688194444444444,307.68,15384,6.5;;;;;;68714718271;3;1;2;98.98;10;49.49;1039.29;282019;16:20;989.8;49.49;8.7
10513111824,1,2,2,69.52,7,24332,510972,212019,0,631944444444444,486.64,24332,8.5;;;;;;79613219050;1;1;2;51.28;6;15.384;323.064;1192019;16:31;307.68;15.384;6.5
24914213782,1,1,2,70.01,5,175025,3675525,132019,0,483333333333333,350.05,175025,5.5;;;;;;10513111824;1;2;2;69.52;7;24.332;510.972;212019;15:10;486.64;24.332;8.5
31615514634,1,2,2,80.05,5,200125,4202625,1262019,0,53125,400.25,200125,9.4;;;;;;24914213782;1;1;2;70.01;5;175.025;3.675.525;132019;11:36;350.05;175.025;5.5
73313314967,2,1,2,20.85,8,8.34,175.14,332019,0,803472222222222,166.8,8.34,6.3;;;;;;31615514634;1;2;2;80.05;5;200.125;4.202.625;1262019;12:45;400.25;200.125;9.4
60812716295,3,2,2,52.89,6,15867,333207,1192019,0,731944444444444,317.34,15867,9.8;;;;;;73313314967;2;1;2;20.85;8;8.34;175.14;332019;19:17;166.8;8.34;6.3
41411217047,2,1,2,19.79,8,7916,166236,1182019,0,502777777777778,158.32,7916,8.7;;;;;;60812716295;3;2;2;52.89;6;15.867;333.207;1192019;17:34;317.34;15.867;9.8
82712612100,2,2,2,33.84,9,15228,319788,3212019,0,68125,304.56,15228,8.8;;;;;;41411217047;2;1;2;19.79;8;7.916;166.236;1182019;12:04;158.32;7.916;8.7
17515412529,1,2,1,22.17,8,8868,186228,332019,0,709027777777778,177.36,8868,9.6;;;;;;82712612100;2;2;2;33.84;9;15.228;319.788;3212019;16:21;304.56;15.228;8.8
13915212867,1,1,2,22.51,7,78785,1654485,2132019,0,451388888888889,157.57,78785,4.8;;;;;;17515412529;1;2;1;22.17;8;8.868;186.228;332019;17:01;177.36;8.868;9.6
40716318975,3,1,2,73.88,6,22164,465444,3232019,0,802777777777778,443.28,22164,4.4;;;;;;13915212867;1;1;2;22.51;7;78.785;1.654.485;2132019;10:50;157.57;78.785;4.8
34216514817,1,2,2,86.8,3,13.02,273.42,1282019,0,699305555555556,260.4,13.02,9.9;;;;;;40716318975;3;1;2;73.88;6;22.164;465.444;3232019;19:16;443.28;22.164;4.4
13019818941,3,1,2,64.26,7,22491,472311,292019,0,416666666666667,449.82,22491,5.7;;;;;;34216514817;1;2;2;86.8;3;13.02;273.42;1282019;16:47;260.4;13.02;9.9
43418319547,3,2,2,38.47,8,15388,323148,1232019,0,49375,307.76,15388,7.7;;;;;;13019818941;3;1;2;64.26;7;22.491;472.311;292019;10:00;449.82;22.491;5.7
85112816367,3,2,2,15.5,10,7.75,162.75,3232019,0,454861111111111,155,7.75,8;;;;;;43418319547;3;2;2;38.47;8;15.388;323.148;1232019;11:51;307.76;15.388;7.7
82418813614,1,1,1,34.31,8,13724,288204,1252019,0,625,274.48,13724,5.7;;;;;;85112816367;3;2;2;15.5;10;7.75;162.75;3232019;10:55;155;7.75;8
58612510848,3,1,2,12.34,7,4319,90699,342019,0,471527777777778,86.38,4319,6.7;;;;;;82418813614;1;1;1;34.31;8;13.724;288.204;1252019;15:00;274.48;13.724;5.7
89516610685,1,2,1,18.08,3,2712,56952,352019,0,823611111111111,54.24,2712,8;;;;;;58612510848;3;1;2;12.34;7;4.319;90.699;342019;11:19;86.38;4.319;6.7
30511410245,2,2,2,94.49,8,37796,793716,332019,0,791666666666667,755.92,37796,7.5;;;;;;89516610685;1;2;1;18.08;3;2.712;56.952;352019;19:46;54.24;2.712;8
73210415373,2,2,2,46.47,4,9294,195174,282019,0,453472222222222,185.88,9294,7;;;;;;30511410245;2;2;2;94.49;8;37.796;793.716;332019;19:00;755.92;37.796;7.5
40016017251,2,1,1,74.07,1,37035,777735,2102019,0,534722222222222,74.07,37035,9.9;;;;;;73210415373;2;2;2;46.47;4;9.294;195.174;282019;10:53;185.88;9.294;7
59316511552,1,1,1,69.81,4,13962,293202,1282019,0,868055555555555,279.24,13962,5.9;;;;;;40016017251;2;1;1;74.07;1;37.035;777.735;2102019;12:50;74.07;37.035;9.9
28413419626,3,1,1,77.04,3,11556,242676,2112019,0,44375,231.12,11556,7.2;;;;;;59316511552;1;1;1;69.81;4;13.962;293.202;1282019;20:50;279.24;13.962;5.9
43715818131,2,1,1,73.52,2,7352,154392,1152019,0,570138888888889,147.04,7352,4.6;;;;;;28413419626;3;1;1;77.04;3;11.556;242.676;2112019;10:39;231.12;11.556;7.2
28614316208,2,1,2,87.8,9,39.51,829.71,3162019,0,797222222222222,790.2,39.51,9.2;;;;;;43715818131;2;1;1;73.52;2;7.352;154.392;1152019;13:41;147.04;7.352;4.6
64114312399,3,1,2,25.55,4,5.11,107.31,1262019,0,849305555555556,102.2,5.11,5.7;;;;;;28614316208;2;1;2;87.8;9;39.51;829.71;3162019;19:08;790.2;39.51;9.2
83110716050,2,1,1,32.71,5,81775,1717275,3192019,0,479166666666667,163.55,81775,9.9;;;;;;64114312399;3;1;2;25.55;4;5.11;107.31;1262019;20:23;102.2;5.11;5.7
55618613144,1,2,2,74.29,1,37145,780045,1132019,0,8125,74.29,37145,5;;;;;;83110716050;2;1;1;32.71;5;81.775;1.717.275;3192019;11:30;163.55;81.775;9.9
84812419445,3,2,1,43.7,2,4.37,91.77,3262019,0,752083333333333,87.4,4.37,4.9;;;;;;55618613144;1;2;2;74.29;1;37.145;780.045;1132019;19:30;74.29;37.145;5
85612218149,3,1,2,25.29,1,12645,265545,3232019,0,425694444444444,25.29,12645,6.1;;;;;;84812419445;3;2;1;43.7;2;4.37;91.77;3262019;18:03;87.4;4.37;4.9
69910114164,1,1,1,41.5,4,8.3,174.3,3122019,0,831944444444444,166,8.3,8.2;;;;;;85612218149;3;1;2;25.29;1;12.645;265.545;3232019;10:13;25.29;12.645;6.1
42011114919,3,2,1,71.39,5,178475,3747975,2172019,0,83125,356.95,178475,5.5;;;;;;69910114164;1;1;1;41.5;4;8.3;174.3;3122019;19:58;166;8.3;8.2
60618014905,3,2,1,19.15,6,5745,120645,1292019,0,417361111111111,114.9,5745,6.8;;;;;;42011114919;3;2;1;71.39;5;178.475;3.747.975;2172019;19:57;356.95;178.475;5.5
54214110513,3,2,2,57.49,4,11498,241458,3152019,0,497916666666667,229.96,11498,6.6;;;;;;60618014905;3;2;1;19.15;6;5.745;120.645;1292019;10:01;114.9;5.745;6.8
42613912418,2,1,2,61.41,7,214935,4513635,1142019,0,418055555555556,429.87,214935,9.8;;;;;;54214110513;3;2;2;57.49;4;11.498;241.458;3152019;11:57;229.96;11.498;6.6
87514615808,3,2,2,25.9,10,12.95,271.95,262019,0,61875,259,12.95,8.7;;;;;;42613912418;2;1;2;61.41;7;214.935;4.513.635;1142019;10:02;429.87;214.935;9.8
39414314238,2,2,1,17.77,5,44425,932925,2152019,0,529166666666667,88.85,44425,5.4;;;;;;87514615808;3;2;2;25.9;10;12.95;271.95;262019;14:51;259;12.95;8.7
74912411565,2,1,1,23.03,9,103635,2176335,132019,0,501388888888889,207.27,103635,7.9;;;;;;39414314238;2;2;1;17.77;5;44.425;932.925;2152019;12:42;88.85;44.425;5.4
67215118681,1,2,1,66.65,9,299925,6298425,142019,0,763194444444444,599.85,299925,9.7;;;;;;74912411565;2;1;1;23.03;9;103.635;2.176.335;132019;12:02;207.27;103.635;7.9
26318715680,3,2,1,28.53,10,14265,299565,3182019,0,734722222222222,285.3,14265,7.8;;;;;;67215118681;1;2;1;66.65;9;299.925;6.298.425;142019;18:19;599.85;299.925;9.7
57315819734,3,1,1,30.37,3,45555,956655,3282019,0,570138888888889,91.11,45555,5.1;;;;;;26318715680;3;2;1;28.53;10;14.265;299.565;3182019;17:38;285.3;14.265;7.8
81716918206,2,1,2,99.73,9,448785,9424485,322019,0,820833333333333,897.57,448785,6.5;;;;;;57315819734;3;1;1;30.37;3;45.555;956.655;3282019;13:41;91.11;45.555;5.1
88810210338,2,1,1,26.23,9,118035,2478735,1252019,0,85,236.07,118035,5.9;;;;;;81716918206;2;1;2;99.73;9;448.785;9.424.485;322019;19:42;897.57;448.785;6.5
67711110152,1,1,2,93.26,9,41967,881307,1162019,0,755555555555556,839.34,41967,8.8;;;;;;88810210338;2;1;1;26.23;9;118.035;2.478.735;1252019;20:24;236.07;118.035;5.9
14216316033,3,1,2,92.36,5,23.09,484.89,3202019,0,803472222222222,461.8,23.09,4.9;;;;;;67711110152;1;1;2;93.26;9;41.967;881.307;1162019;18:08;839.34;41.967;8.8
65611611063,2,1,1,46.42,3,6963,146223,142019,0,558333333333333,139.26,6963,4.4;;;;;;14216316033;3;1;2;92.36;5;23.09;484.89;3202019;19:17;461.8;23.09;4.9
89115818335,2,2,2,29.61,7,103635,2176335,3112019,0,661805555555556,207.27,103635,6.5;;;;;;65611611063;2;1;1;46.42;3;6.963;146.223;142019;13:24;139.26;6.963;4.4
80214318934,2,1,1,18.28,1,0.914,19194,3222019,0,628472222222222,18.28,0.914,8.3;;;;;;89115818335;2;2;2;29.61;7;103.635;2.176.335;3112019;15:53;207.27;103.635;6.5
56013015617,1,1,1,24.77,5,61925,1300425,3242019,0,76875,123.85,61925,8.5;;;;;;80214318934;2;1;1;18.28;1;0.914;19.194;3222019;15:05;18.28;0.914;8.3
31917412561,2,2,2,94.64,3,14196,298116,2212019,0,704861111111111,283.92,14196,5.5;;;;;;56013015617;1;1;1;24.77;5;61.925;1.300.425;3242019;18:27;123.85;61.925;8.5
54910319315,1,1,1,94.87,8,37948,796908,2122019,0,540277777777778,758.96,37948,8.7;;;;;;31917412561;2;2;2;94.64;3;14.196;298.116;2212019;16:55;283.92;14.196;5.5
79012911172,2,1,2,57.34,3,8601,180621,3102019,0,790972222222222,172.02,8601,7.9;;;;;;54910319315;1;1;1;94.87;8;37.948;796.908;2122019;12:58;758.96;37.948;8.7
23913613640,2,1,2,45.35,6,13605,285705,1312019,0,572222222222222,272.1,13605,6.1;;;;;;79012911172;2;1;2;57.34;3;8.601;180.621;3102019;18:59;172.02;8.601;7.9
46810112051,2,1,2,62.08,7,21728,456288,362019,0,573611111111111,434.56,21728,5.4;;;;;;23913613640;2;1;2;45.35;6;13.605;285.705;1312019;13:44;272.1;13.605;6.1
38912513394,2,1,1,11.81,5,29525,620025,2172019,0,754166666666667,59.05,29525,9.4;;;;;;46810112051;2;1;2;62.08;7;21.728;456.288;362019;13:46;434.56;21.728;5.4
27916211445,3,2,2,12.54,1,0.627,13167,2212019,0,526388888888889,12.54,0.627,8.2;;;;;;38912513394;2;1;1;11.81;5;29.525;620.025;2172019;18:06;59.05;29.525;9.4
21317216612,3,1,1,43.25,2,4325,90825,3202019,0,663888888888889,86.5,4325,6.2;;;;;;27916211445;3;2;2;12.54;1;0.627;13.167;2212019;12:38;12.54;0.627;8.2
74616816593,1,2,2,87.16,2,8716,183036,1112019,0,603472222222222,174.32,8716,9.7;;;;;;21317216612;3;1;1;43.25;2;4.325;90.825;3202019;15:56;86.5;4.325;6.2
83618215858,3,2,2,69.37,9,312165,6555465,1262019,0,801388888888889,624.33,312165,4;;;;;;74616816593;1;2;2;87.16;2;8.716;183.036;1112019;14:29;174.32;8.716;9.7
58317211480,2,2,1,37.06,4,7412,155652,1312019,0,683333333333333,148.24,7412,9.7;;;;;;83618215858;3;2;2;69.37;9;312.165;6.555.465;1262019;19:14;624.33;312.165;4
46616115506,3,2,1,90.7,6,27.21,571.41,2262019,0,452777777777778,544.2,27.21,5.3;;;;;;58317211480;2;2;1;37.06;4;7.412;155.652;1312019;16:24;148.24;7.412;9.7
72118616247,2,1,1,63.42,8,25368,532728,3112019,0,538194444444444,507.36,25368,7.4;;;;;;46616115506;3;2;1;90.7;6;27.21;571.41;2262019;10:52;544.2;27.21;5.3
28916515721,1,1,1,81.37,2,8137,170877,1262019,0,811111111111111,162.74,8137,6.5;;;;;;72118616247;2;1;1;63.42;8;25.368;532.728;3112019;12:55;507.36;25.368;7.4
54514613100,2,2,1,10.59,3,15885,333585,3122019,0,577777777777778,31.77,15885,8.7;;;;;;28916515721;1;1;1;81.37;2;8.137;170.877;1262019;19:28;162.74;8.137;6.5
41810215978,2,1,2,84.09,9,378405,7946505,2112019,0,454166666666667,756.81,378405,8;;;;;;54514613100;2;2;1;10.59;3;15.885;333.585;3122019;13:52;31.77;15.885;8.7
26910415750,2,2,2,73.82,4,14764,310044,2212019,0,771527777777778,295.28,14764,6.7;;;;;;41810215978;2;1;2;84.09;9;378.405;7.946.505;2112019;10:54;756.81;378.405;8
15711315295,2,2,1,51.94,10,25.97,545.37,392019,0,766666666666667,519.4,25.97,6.5;;;;;;26910415750;2;2;2;73.82;4;14.764;310.044;2212019;18:31;295.28;14.764;6.7
64517818093,1,1,2,93.14,2,9314,195594,1202019,0,75625,186.28,9314,4.1;;;;;;15711315295;2;2;1;51.94;10;25.97;545.37;392019;18:24;519.4;25.97;6.5
21113019270,1,1,1,17.41,5,43525,914025,1282019,0,636111111111111,87.05,43525,4.9;;;;;;64517818093;1;1;2;93.14;2;9.314;195.594;1202019;18:09;186.28;9.314;4.1
75511213214,3,2,1,44.22,5,11055,232155,352019,0,713194444444444,221.1,11055,8.6;;;;;;21113019270;1;1;1;17.41;5;43.525;914.025;1282019;15:16;87.05;43.525;4.9
34618413103,3,2,2,13.22,5,3305,69405,322019,0,809722222222222,66.1,3305,4.3;;;;;;75511213214;3;2;1;44.22;5;11.055;232.155;352019;17:07;221.1;11.055;8.6
47810617835,2,1,2,89.69,1,44845,941745,1112019,0,472222222222222,89.69,44845,4.9;;;;;;34618413103;3;2;2;13.22;5;3.305;69.405;322019;19:26;66.1;3.305;4.3
54011114336,1,1,2,24.94,9,11223,235683,1112019,0,700694444444444,224.46,11223,5.6;;;;;;47810617835;2;1;2;89.69;1;44.845;941.745;1112019;11:20;89.69;44.845;4.9
44818115016,1,1,2,59.77,2,5977,125517,3112019,0,500694444444444,119.54,5977,5.8;;;;;;54011114336;1;1;2;24.94;9;11.223;235.683;1112019;16:49;224.46;11.223;5.6
14217214741,1,2,2,93.2,2,9.32,195.72,2282019,0,775694444444444,186.4,9.32,6;;;;;;44818115016;1;1;2;59.77;2;5.977;125.517;3112019;12:01;119.54;5.977;5.8
21715811179,3,2,2,62.65,4,12.53,263.13,152019,0,475694444444444,250.6,12.53,4.2;;;;;;14217214741;1;2;2;93.2;2;9.32;195.72;2282019;18:37;186.4;9.32;6
37610218238,1,1,2,93.87,8,37548,788508,222019,0,779166666666667,750.96,37548,8.3;;;;;;21715811179;3;2;2;62.65;4;12.53;263.13;152019;11:25;250.6;12.53;4.2
53019019855,2,2,1,47.59,8,19036,399756,112019,0,615972222222222,380.72,19036,5.7;;;;;;37610218238;1;1;2;93.87;8;37.548;788.508;222019;18:42;750.96;37.548;8.3
86610517563,1,2,2,81.4,3,12.21,256.41,292019,0,821527777777778,244.2,12.21,4.8;;;;;;53019019855;2;2;1;47.59;8;19.036;399.756;112019;14:47;380.72;19.036;5.7
60417016476,2,2,2,17.94,5,4485,94185,1232019,0,586111111111111,89.7,4485,6.8;;;;;;86610517563;1;2;2;81.4;3;12.21;256.41;292019;19:43;244.2;12.21;4.8
79917111548,1,2,2,77.72,4,15544,326424,172019,0,674305555555556,310.88,15544,8.8;;;;;;60417016476;2;2;2;17.94;5;4.485;94.185;1232019;14:04;89.7;4.485;6.8
78511317708,1,1,2,73.06,7,25571,536991,1142019,0,795833333333333,511.42,25571,4.2;;;;;;79917111548;1;2;2;77.72;4;15.544;326.424;172019;16:11;310.88;15.544;8.8
84515110542,2,2,2,46.55,9,209475,4398975,222019,0,648611111111111,418.95,209475,6.4;;;;;;78511317708;1;1;2;73.06;7;25.571;536.991;1142019;19:06;511.42;25.571;4.2
66214715456,2,2,1,35.19,10,17595,369495,3172019,0,795833333333333,351.9,17595,8.4;;;;;;84515110542;2;2;2;46.55;9;209.475;4.398.975;222019;15:34;418.95;209.475;6.4
88311714236,3,1,2,14.39,2,1439,30219,322019,0,822222222222222,28.78,1439,7.2;;;;;;66214715456;2;2;1;35.19;10;17.595;369.495;3172019;19:06;351.9;17.595;8.4
29016812984,3,1,2,23.75,4,4.75,99.75,3162019,0,473611111111111,95,4.75,5.2;;;;;;88311714236;3;1;2;14.39;2;1.439;30.219;322019;19:44;28.78;1.439;7.2
70411116354,1,2,2,58.9,8,23.56,494.76,162019,0,474305555555556,471.2,23.56,8.9;;;;;;29016812984;3;1;2;23.75;4;4.75;99.75;3162019;11:22;95;4.75;5.2
11014817033,1,2,2,32.62,4,6524,137004,1292019,0,591666666666667,130.48,6524,9;;;;;;70411116354;1;2;2;58.9;8;23.56;494.76;162019;11:23;471.2;23.56;8.9
36619310948,2,2,2,66.35,1,33175,696675,1312019,0,448611111111111,66.35,33175,9.7;;;;;;11014817033;1;2;2;32.62;4;6.524;137.004;1292019;14:12;130.48;6.524;9
72910919681,1,2,2,25.91,6,7773,163233,252019,0,427777777777778,155.46,7773,8.7;;;;;;36619310948;2;2;2;66.35;1;33.175;696.675;1312019;10:46;66.35;33.175;9.7
15111611484,1,2,2,32.25,4,6.45,135.45,2132019,0,526388888888889,129,6.45,6.5;;;;;;72910919681;1;2;2;25.91;6;7.773;163.233;252019;10:16;155.46;7.773;8.7
38019414661,1,2,1,65.94,4,13188,276948,272019,0,545138888888889,263.76,13188,6.9;;;;;;15111611484;1;2;2;32.25;4;6.45;135.45;2132019;12:38;129;6.45;6.5
85014119669,3,1,1,75.06,9,33777,709317,3192019,0,559027777777778,675.54,33777,6.2;;;;;;38019414661;1;2;1;65.94;4;13.188;276.948;272019;13:05;263.76;13.188;6.9
82110713596,1,1,1,16.45,4,3.29,69.09,372019,0,620138888888889,65.8,3.29,5.6;;;;;;85014119669;3;1;1;75.06;9;33.777;709.317;3192019;13:25;675.54;33.777;6.2
65518515130,3,2,1,38.3,4,7.66,160.86,3132019,0,806944444444444,153.2,7.66,5.7;;;;;;82110713596;1;1;1;16.45;4;3.29;69.09;372019;14:53;65.8;3.29;5.6
44711517839,2,2,2,22.24,10,11.12,233.52,292019,0,458333333333333,222.4,11.12,4.2;;;;;;65518515130;3;2;1;38.3;4;7.66;160.86;3132019;19:22;153.2;7.66;5.7
15417417179,1,1,1,54.45,1,27225,571725,2262019,0,808333333333333,54.45,27225,7.9;;;;;;44711517839;2;2;2;22.24;10;11.12;233.52;292019;11:00;222.4;11.12;4.2
25311216086,2,2,2,98.4,7,34.44,723.24,3122019,0,529861111111111,688.8,34.44,8.7;;;;;;15417417179;1;1;1;54.45;1;27.225;571.725;2262019;19:24;54.45;27.225;7.9
80816510703,1,1,1,35.47,4,7094,148974,3142019,0,723611111111111,141.88,7094,6.9;;;;;;25311216086;2;2;2;98.4;7;34.44;723.24;3122019;12:43;688.8;34.44;8.7
57119410759,3,2,2,74.6,10,37.3,783.3,182019,0,871527777777778,746,37.3,9.5;;;;;;80816510703;1;1;1;35.47;4;7.094;148.974;3142019;17:22;141.88;7.094;6.9
14415116085,2,2,1,70.74,4,14148,297108,152019,0,670138888888889,282.96,14148,4.4;;;;;;57119410759;3;2;2;74.6;10;37.3;783.3;182019;20:55;746;37.3;9.5
73111412199,1,2,1,35.54,10,17.77,373.17,142019,0,565277777777778,355.4,17.77,7;;;;;;14415116085;2;2;1;70.74;4;14.148;297.108;152019;16:05;282.96;14.148;4.4
78310911637,1,1,1,67.43,5,168575,3540075,362019,0,759027777777778,337.15,168575,6.3;;;;;;73111412199;1;2;1;35.54;10;17.77;373.17;142019;13:34;355.4;17.77;7
68711511097,2,2,1,21.12,2,2112,44352,132019,0,803472222222222,42.24,2112,9.7;;;;;;78310911637;1;1;1;67.43;5;168.575;3.540.075;362019;18:13;337.15;168.575;6.3
12615411082,3,2,1,21.54,9,9693,203553,172019,0,488888888888889,193.86,9693,8.8;;;;;;68711511097;2;2;1;21.12;2;2.112;44.352;132019;19:17;42.24;2.112;9.7
63319111052,1,1,1,12.03,2,1203,25263,1272019,0,660416666666667,24.06,1203,5.1;;;;;;12615411082;3;2;1;21.54;9;9.693;203.553;172019;11:44;193.86;9.693;8.8
47712416490,1,1,2,99.71,6,29913,628173,2262019,0,702777777777778,598.26,29913,7.9;;;;;;63319111052;1;1;1;12.03;2;1.203;25.263;1272019;15:51;24.06;1.203;5.1
56611915475,2,1,1,47.97,7,167895,3525795,172019,0,869444444444444,335.79,167895,6.2;;;;;;47712416490;1;1;2;99.71;6;29.913;628.173;2262019;16:52;598.26;29.913;7.9
52618618552,2,2,1,21.82,10,10.91,229.11,172019,0,733333333333333,218.2,10.91,7.1;;;;;;56611915475;2;1;1;47.97;7;167.895;3.525.795;172019;20:52;335.79;167.895;6.2
37615613573,3,1,2,95.42,4,19084,400764,222019,0,557638888888889,381.68,19084,6.4;;;;;;52618618552;2;2;1;21.82;10;10.91;229.11;172019;17:36;218.2;10.91;7.1
53717210426,3,2,2,70.99,10,35495,745395,3202019,0,686111111111111,709.9,35495,5.7;;;;;;37615613573;3;1;2;95.42;4;19.084;400.764;222019;13:23;381.68;19.084;6.4
82816115674,3,2,1,44.02,10,22.01,462.21,3202019,0,83125,440.2,22.01,9.6;;;;;;53717210426;3;2;2;70.99;10;35.495;745.395;3202019;16:28;709.9;35.495;5.7
13610816195,1,1,2,69.96,8,27984,587664,2152019,0,709027777777778,559.68,27984,6.4;;;;;;82816115674;3;2;1;44.02;10;22.01;462.21;3202019;19:57;440.2;22.01;9.6
52313810215,1,1,1,37,1,1.85,38.85,362019,0,561805555555556,37,1.85,7.9;;;;;;13610816195;1;1;2;69.96;8;27.984;587.664;2152019;17:01;559.68;27.984;6.4
49012911201,3,1,2,15.34,1,0.767,16107,162019,0,464583333333333,15.34,0.767,6.5;;;;;;52313810215;1;1;1;37;1;1.85;38.85;362019;13:29;37;1.85;7.9
66719210055,1,2,1,99.83,6,29949,628929,342019,0,626388888888889,598.98,29949,8.5;;;;;;49012911201;3;1;2;15.34;1;0.767;16.107;162019;11:09;15.34;0.767;6.5
56511713836,1,2,2,47.67,4,9534,200214,3122019,0,597916666666667,190.68,9534,9.1;;;;;;66719210055;1;2;1;99.83;6;29.949;628.929;342019;15:02;598.98;29.949;8.5
49814111961,1,1,2,66.68,5,16.67,350.07,2202019,0,750694444444444,333.4,16.67,7.6;;;;;;56511713836;1;2;2;47.67;4;9.534;200.214;3122019;14:21;190.68;9.534;9.1
59319514461,2,2,1,74.86,1,3743,78603,3242019,0,617361111111111,74.86,3743,6.9;;;;;;49814111961;1;1;2;66.68;5;16.67;350.07;2202019;18:01;333.4;16.67;7.6
